id,sequence,task,choices,response,response_type,domain,gender,age
1,0,Some;models;managers/All;models;clerks,All;managers;clerks|All;clerks;managers|Some;managers;clerks|Some;clerks;managers|Some not;managers;clerks|Some not;clerks;managers|No;managers;clerks|No;clerks;managers|NVC,Some;managers;clerks,single-choice,syllogistic,female,56
1,15,No;surfers;artists/No;surfers;planners,All;artists;planners|All;planners;artists|Some;artists;planners|Some;planners;artists|Some not;artists;planners|Some not;planners;artists|No;artists;planners|No;planners;artists|NVC,NVC,single-choice,syllogistic,female,56
1,16,Some not;typists;dancers/All;boxers;typists,All;dancers;boxers|All;boxers;dancers|Some;dancers;boxers|Some;boxers;dancers|Some not;dancers;boxers|Some not;boxers;dancers|No;dancers;boxers|No;boxers;dancers|NVC,Some not;boxers;dancers,single-choice,syllogistic,female,56
1,17,Some not;engineers;fencers/Some not;campers;fencers,All;engineers;campers|All;campers;engineers|Some;engineers;campers|Some;campers;engineers|Some not;engineers;campers|Some not;campers;engineers|No;engineers;campers|No;campers;engineers|NVC,NVC,single-choice,syllogistic,female,56
1,18,Some not;climbers;tellers/No;doctors;climbers,All;tellers;doctors|All;doctors;tellers|Some;tellers;doctors|Some;doctors;tellers|Some not;tellers;doctors|Some not;doctors;tellers|No;tellers;doctors|No;doctors;tellers|NVC,NVC,single-choice,syllogistic,female,56
1,19,Some not;joggers;counselors/No;joggers;riders,All;counselors;riders|All;riders;counselors|Some;counselors;riders|Some;riders;counselors|Some not;counselors;riders|Some not;riders;counselors|No;counselors;riders|No;riders;counselors|NVC,NVC,single-choice,syllogistic,female,56
1,20,No;runners;chefs/No;scientists;runners,All;chefs;scientists|All;scientists;chefs|Some;chefs;scientists|Some;scientists;chefs|Some not;chefs;scientists|Some not;scientists;chefs|No;chefs;scientists|No;scientists;chefs|NVC,NVC,single-choice,syllogistic,female,56
1,21,Some;hunters;lawyers/No;athletes;lawyers,All;hunters;athletes|All;athletes;hunters|Some;hunters;athletes|Some;athletes;hunters|Some not;hunters;athletes|Some not;athletes;hunters|No;hunters;athletes|No;athletes;hunters|NVC,Some not;hunters;athletes,single-choice,syllogistic,female,56
1,22,Some;mayors;cooks/Some;swimmers;mayors,All;cooks;swimmers|All;swimmers;cooks|Some;cooks;swimmers|Some;swimmers;cooks|Some not;cooks;swimmers|Some not;swimmers;cooks|No;cooks;swimmers|No;swimmers;cooks|NVC,NVC,single-choice,syllogistic,female,56
1,23,Some;poets;waiters/All;cashiers;waiters,All;poets;cashiers|All;cashiers;poets|Some;poets;cashiers|Some;cashiers;poets|Some not;poets;cashiers|Some not;cashiers;poets|No;poets;cashiers|No;cashiers;poets|NVC,NVC,single-choice,syllogistic,female,56
1,24,All;agents;secretaries/All;brokers;agents,All;secretaries;brokers|All;brokers;secretaries|Some;secretaries;brokers|Some;brokers;secretaries|Some not;secretaries;brokers|Some not;brokers;secretaries|No;secretaries;brokers|No;brokers;secretaries|NVC,All;brokers;secretaries,single-choice,syllogistic,female,56
1,25,Some not;students;buyers/All;cyclists;buyers,All;students;cyclists|All;cyclists;students|Some;students;cyclists|Some;cyclists;students|Some not;students;cyclists|Some not;cyclists;students|No;students;cyclists|No;cyclists;students|NVC,Some not;students;cyclists,single-choice,syllogistic,female,56
1,26,Some not;workers;actors/Some not;painters;workers,All;actors;painters|All;painters;actors|Some;actors;painters|Some;painters;actors|Some not;actors;painters|Some not;painters;actors|No;actors;painters|No;painters;actors|NVC,NVC,single-choice,syllogistic,female,56
1,27,Some not;designers;architects/Some;designers;trainers,All;architects;trainers|All;trainers;architects|Some;architects;trainers|Some;trainers;architects|Some not;architects;trainers|Some not;trainers;architects|No;architects;trainers|No;trainers;architects|NVC,NVC,single-choice,syllogistic,female,56
1,28,All;brewers;judges/Some;brewers;porters,All;judges;porters|All;porters;judges|Some;judges;porters|Some;porters;judges|Some not;judges;porters|Some not;porters;judges|No;judges;porters|No;porters;judges|NVC,Some;judges;porters,single-choice,syllogistic,female,56
1,29,Some not;novelists;travelers/Some not;novelists;analysts,All;travelers;analysts|All;analysts;travelers|Some;travelers;analysts|Some;analysts;travelers|Some not;travelers;analysts|Some not;analysts;travelers|No;travelers;analysts|No;analysts;travelers|NVC,NVC,single-choice,syllogistic,female,56
1,30,Some;tutors;butchers/No;tutors;packers,All;butchers;packers|All;packers;butchers|Some;butchers;packers|Some;packers;butchers|Some not;butchers;packers|Some not;packers;butchers|No;butchers;packers|No;packers;butchers|NVC,NVC,single-choice,syllogistic,female,56
1,31,All;editors;florists/All;editors;soldiers,All;florists;soldiers|All;soldiers;florists|Some;florists;soldiers|Some;soldiers;florists|Some not;florists;soldiers|Some not;soldiers;florists|No;florists;soldiers|No;soldiers;florists|NVC,Some;soldiers;florists,single-choice,syllogistic,female,56
1,32,All;therapists;climbers/No;therapists;skaters,All;climbers;skaters|All;skaters;climbers|Some;climbers;skaters|Some;skaters;climbers|Some not;climbers;skaters|Some not;skaters;climbers|No;climbers;skaters|No;skaters;climbers|NVC,Some not;climbers;skaters,single-choice,syllogistic,female,56
1,33,No;farmers;scholars/Some not;assistants;scholars,All;farmers;assistants|All;assistants;farmers|Some;farmers;assistants|Some;assistants;farmers|Some not;farmers;assistants|Some not;assistants;farmers|No;farmers;assistants|No;assistants;farmers|NVC,NVC,single-choice,syllogistic,female,56
1,34,All;drillers;actors/Some not;nurses;drillers,All;actors;nurses|All;nurses;actors|Some;actors;nurses|Some;nurses;actors|Some not;actors;nurses|Some not;nurses;actors|No;actors;nurses|No;nurses;actors|NVC,Some not;nurses;actors,single-choice,syllogistic,female,56
1,35,Some;planners;artists/All;artists;surfers,All;planners;surfers|All;surfers;planners|Some;planners;surfers|Some;surfers;planners|Some not;planners;surfers|Some not;surfers;planners|No;planners;surfers|No;surfers;planners|NVC,Some;planners;surfers,single-choice,syllogistic,female,56
1,36,Some;workers;actors/Some not;painters;actors,All;workers;painters|All;painters;workers|Some;workers;painters|Some;painters;workers|Some not;workers;painters|Some not;painters;workers|No;workers;painters|No;painters;workers|NVC,NVC,single-choice,syllogistic,female,56
1,37,No;runners;scientists/Some not;scientists;chefs,All;runners;chefs|All;chefs;runners|Some;runners;chefs|Some;chefs;runners|Some not;runners;chefs|Some not;chefs;runners|No;runners;chefs|No;chefs;runners|NVC,NVC,single-choice,syllogistic,female,56
1,38,Some;novelists;travelers/Some;travelers;analysts,All;novelists;analysts|All;analysts;novelists|Some;novelists;analysts|Some;analysts;novelists|Some not;novelists;analysts|Some not;analysts;novelists|No;novelists;analysts|No;analysts;novelists|NVC,NVC,single-choice,syllogistic,female,56
1,39,Some not;doctors;tellers/No;tellers;climbers,All;doctors;climbers|All;climbers;doctors|Some;doctors;climbers|Some;climbers;doctors|Some not;doctors;climbers|Some not;climbers;doctors|No;doctors;climbers|No;climbers;doctors|NVC,NVC,single-choice,syllogistic,female,56
1,40,All;poets;cashiers/All;waiters;cashiers,All;poets;waiters|All;waiters;poets|Some;poets;waiters|Some;waiters;poets|Some not;poets;waiters|Some not;waiters;poets|No;poets;waiters|No;waiters;poets|NVC,NVC,single-choice,syllogistic,female,56
1,41,All;sculptors;bakers/No;bakers;gamblers,All;sculptors;gamblers|All;gamblers;sculptors|Some;sculptors;gamblers|Some;gamblers;sculptors|Some not;sculptors;gamblers|Some not;gamblers;sculptors|No;sculptors;gamblers|No;gamblers;sculptors|NVC,No;sculptors;gamblers,single-choice,syllogistic,female,56
1,42,No;managers;clerks/Some;clerks;models,All;managers;models|All;models;managers|Some;managers;models|Some;models;managers|Some not;managers;models|Some not;models;managers|No;managers;models|No;models;managers|NVC,NVC,single-choice,syllogistic,female,56
1,43,All;brokers;secretaries/Some;secretaries;agents,All;brokers;agents|All;agents;brokers|Some;brokers;agents|Some;agents;brokers|Some not;brokers;agents|Some not;agents;brokers|No;brokers;agents|No;agents;brokers|NVC,Some;brokers;agents,single-choice,syllogistic,female,56
1,44,Some;dancers;boxers/Some;dancers;typists,All;boxers;typists|All;typists;boxers|Some;boxers;typists|Some;typists;boxers|Some not;boxers;typists|Some not;typists;boxers|No;boxers;typists|No;typists;boxers|NVC,NVC,single-choice,syllogistic,female,56
1,45,All;drivers;writers/Some;hikers;writers,All;drivers;hikers|All;hikers;drivers|Some;drivers;hikers|Some;hikers;drivers|Some not;drivers;hikers|Some not;hikers;drivers|No;drivers;hikers|No;hikers;drivers|NVC,NVC,single-choice,syllogistic,female,56
1,46,All;divers;carpenters/Some not;carpenters;linguists,All;divers;linguists|All;linguists;divers|Some;divers;linguists|Some;linguists;divers|Some not;divers;linguists|Some not;linguists;divers|No;divers;linguists|No;linguists;divers|NVC,Some not;divers;linguists,single-choice,syllogistic,female,56
1,47,All;painters;cleaners/Some not;painters;auditors,All;cleaners;auditors|All;auditors;cleaners|Some;cleaners;auditors|Some;auditors;cleaners|Some not;cleaners;auditors|Some not;auditors;cleaners|No;cleaners;auditors|No;auditors;cleaners|NVC,Some not;cleaners;auditors,single-choice,syllogistic,female,56
1,48,No;florists;editors/All;soldiers;florists,All;editors;soldiers|All;soldiers;editors|Some;editors;soldiers|Some;soldiers;editors|Some not;editors;soldiers|Some not;soldiers;editors|No;editors;soldiers|No;soldiers;editors|NVC,No;soldiers;editors,single-choice,syllogistic,female,56
1,49,Some;swimmers;mayors/No;mayors;cooks,All;swimmers;cooks|All;cooks;swimmers|Some;swimmers;cooks|Some;cooks;swimmers|Some not;swimmers;cooks|Some not;cooks;swimmers|No;swimmers;cooks|No;cooks;swimmers|NVC,NVC,single-choice,syllogistic,female,56
1,50,Some;architects;designers/Some not;designers;trainers,All;architects;trainers|All;trainers;architects|Some;architects;trainers|Some;trainers;architects|Some not;architects;trainers|Some not;trainers;architects|No;architects;trainers|No;trainers;architects|NVC,NVC,single-choice,syllogistic,female,56
1,51,All;tutors;butchers/No;packers;tutors,All;butchers;packers|All;packers;butchers|Some;butchers;packers|Some;packers;butchers|Some not;butchers;packers|Some not;packers;butchers|No;butchers;packers|No;packers;butchers|NVC,No;packers;butchers,single-choice,syllogistic,female,56
1,52,Some not;singers;tailors/Some;pilots;tailors,All;singers;pilots|All;pilots;singers|Some;singers;pilots|Some;pilots;singers|Some not;singers;pilots|Some not;pilots;singers|No;singers;pilots|No;pilots;singers|NVC,NVC,single-choice,syllogistic,female,56
1,53,Some;opticians;actuaries/Some;boxers;actuaries,All;opticians;boxers|All;boxers;opticians|Some;opticians;boxers|Some;boxers;opticians|Some not;opticians;boxers|Some not;boxers;opticians|No;opticians;boxers|No;boxers;opticians|NVC,NVC,single-choice,syllogistic,female,56
1,54,Some;sailors;chemists/No;potters;sailors,All;chemists;potters|All;potters;chemists|Some;chemists;potters|Some;potters;chemists|Some not;chemists;potters|Some not;potters;chemists|No;chemists;potters|No;potters;chemists|NVC,Some not;potters;chemists,single-choice,syllogistic,female,56
1,55,Some not;investors;barbers/All;barbers;jugglers,All;investors;jugglers|All;jugglers;investors|Some;investors;jugglers|Some;jugglers;investors|Some not;investors;jugglers|Some not;jugglers;investors|No;investors;jugglers|No;jugglers;investors|NVC,Some not;investors;jugglers,single-choice,syllogistic,female,56
1,56,Some not;judges;brewers/Some;porters;judges,All;brewers;porters|All;porters;brewers|Some;brewers;porters|Some;porters;brewers|Some not;brewers;porters|Some not;porters;brewers|No;brewers;porters|No;porters;brewers|NVC,NVC,single-choice,syllogistic,female,56
1,57,Some;hunters;athletes/Some not;hunters;lawyers,All;athletes;lawyers|All;lawyers;athletes|Some;athletes;lawyers|Some;lawyers;athletes|Some not;athletes;lawyers|Some not;lawyers;athletes|No;athletes;lawyers|No;lawyers;athletes|NVC,NVC,single-choice,syllogistic,female,56
1,58,No;buyers;cyclists/All;buyers;students,All;cyclists;students|All;students;cyclists|Some;cyclists;students|Some;students;cyclists|Some not;cyclists;students|Some not;students;cyclists|No;cyclists;students|No;students;cyclists|NVC,No;students;cyclists,single-choice,syllogistic,female,56
1,59,No;poets;miners/Some;poets;skaters,All;miners;skaters|All;skaters;miners|Some;miners;skaters|Some;skaters;miners|Some not;miners;skaters|Some not;skaters;miners|No;miners;skaters|No;skaters;miners|NVC,NVC,single-choice,syllogistic,female,56
1,60,Some not;campers;engineers/Some;engineers;fencers,All;campers;fencers|All;fencers;campers|Some;campers;fencers|Some;fencers;campers|Some not;campers;fencers|Some not;fencers;campers|No;campers;fencers|No;fencers;campers|NVC,NVC,single-choice,syllogistic,female,56
1,61,No;bankers;teachers/No;golfers;teachers,All;bankers;golfers|All;golfers;bankers|Some;bankers;golfers|Some;golfers;bankers|Some not;bankers;golfers|Some not;golfers;bankers|No;bankers;golfers|No;golfers;bankers|NVC,NVC,single-choice,syllogistic,female,56
1,62,No;counselors;joggers/Some not;riders;counselors,All;joggers;riders|All;riders;joggers|Some;joggers;riders|Some;riders;joggers|Some not;joggers;riders|Some not;riders;joggers|No;joggers;riders|No;riders;joggers|NVC,NVC,single-choice,syllogistic,female,56
1,63,Some not;lifeguards;dentists/No;plumbers;dentists,All;lifeguards;plumbers|All;plumbers;lifeguards|Some;lifeguards;plumbers|Some;plumbers;lifeguards|Some not;lifeguards;plumbers|Some not;plumbers;lifeguards|No;lifeguards;plumbers|No;plumbers;lifeguards|NVC,NVC,single-choice,syllogistic,female,56
